ID,RA_1,Dec_1,PhotoFlag,FWHM,r_petro,er_petro
SPLUS.STRIPE82-0002.18622.griz,359.8582,0.7214,0,4.41,15.46,0.02
SPLUS.STRIPE82-0002.18659.griz,359.995,0.7018,3,5.29,14.75,0.02
SPLUS.STRIPE82-0002.18938.griz,0.1114,0.7325,3,35.29,16.88,0.03
SPLUS.STRIPE82-0002.19139.griz,0.4434,0.7505,0,12.92,16.42,0.02
SPLUS.STRIPE82-0002.19462.griz,359.7711,0.7583,2,7.38,16.75,0.02
SPLUS.STRIPE82-0002.19500.griz,359.6126,0.7602,0,4.62,16.59,0.02
SPLUS.STRIPE82-0002.19613.griz,0.2355,0.7628,2,3.29,16.32,0.02
SPLUS.STRIPE82-0002.19962.griz,359.6687,0.7809999999999999,2,4.37,16.47,0.02
SPLUS.STRIPE82-0002.20101.griz,359.5318,0.784,0,9.35,16.0,0.02
SPLUS.STRIPE82-0002.20371.griz,0.0197,0.7817,2,9.42,15.56,0.02
SPLUS.STRIPE82-0002.20451.griz,359.4993,0.7691,2,3.79,14.86,0.02
SPLUS.STRIPE82-0002.20738.griz,359.8717,0.8045,0,6.8,16.04,0.02
SPLUS.STRIPE82-0002.20884.griz,359.4016,0.8113,0,5.89,16.58,0.02
SPLUS.STRIPE82-0002.21029.griz,359.4524,0.7956,2,6.04,14.4,0.02
SPLUS.STRIPE82-0002.21085.griz,359.7679,0.8141,2,5.69,16.95,0.02
SPLUS.STRIPE82-0002.21115.griz,0.2465,0.8117,3,84.72,13.06,0.02
SPLUS.STRIPE82-0002.21332.griz,0.2631,0.8187,3,51.91,14.07,0.02
SPLUS.STRIPE82-0002.21796.griz,0.4868,1.1569,2,4.39,16.99,0.02
SPLUS.STRIPE82-0002.22121.griz,359.9512,1.1488,0,4.76,16.29,0.02
SPLUS.STRIPE82-0002.22724.griz,0.0533,1.1203,2,15.03,13.98,0.02
SPLUS.STRIPE82-0002.23457.griz,0.4175,1.092,2,4.16,15.64,0.02
SPLUS.STRIPE82-0002.24066.griz,0.4683,1.0317,3,3.39,16.52,0.04
SPLUS.STRIPE82-0002.25155.griz,0.4597,1.032,3,4.54,14.81,0.02
SPLUS.STRIPE82-0002.25646.griz,0.4219,1.0172,0,8.29,16.97,0.02
SPLUS.STRIPE82-0002.26854.griz,359.8425,0.9962,2,4.06,16.13,0.02
SPLUS.STRIPE82-0002.27512.griz,0.6652,0.9428,2,10.89,15.39,0.02
SPLUS.STRIPE82-0002.28866.griz,359.7107,0.8943,3,13.57,16.94,0.02
SPLUS.STRIPE82-0002.29129.griz,359.344,0.885,0,4.3,16.76,0.02
SPLUS.STRIPE82-0002.29276.griz,359.8548,0.9102,2,3.93,16.52,0.02
SPLUS.STRIPE82-0002.29301.griz,0.2148,0.89,2,3.9,16.49,0.02
SPLUS.STRIPE82-0002.29612.griz,0.4905,0.878,3,54.33,14.07,0.02
SPLUS.STRIPE82-0002.29633.griz,0.1194,0.8689,0,7.02,16.92,0.02
SPLUS.STRIPE82-0002.29827.griz,0.0296,0.8579,0,3.69,16.6,0.02
SPLUS.STRIPE82-0002.29860.griz,0.1448,0.8574,0,3.61,16.89,0.02
SPLUS.STRIPE82-0002.30159.griz,359.7251,0.8457,0,5.35,16.24,0.02
SPLUS.STRIPE82-0002.33672.griz,0.2627,1.2681,0,3.87,16.83,0.02
SPLUS.STRIPE82-0002.34022.griz,0.6063,1.2272,3,12.54,16.96,0.04
SPLUS.STRIPE82-0002.34196.griz,359.32800000000003,1.2555,2,3.17,16.96,0.02
SPLUS.STRIPE82-0002.34751.griz,359.3732,1.2396,2,4.81,15.65,0.02
SPLUS.STRIPE82-0002.35993.griz,0.2677,1.1828,3,5.25,16.45,0.02
SPLUS.STRIPE82-0002.36413.griz,359.7965,1.1687,2,4.28,16.82,0.02
SPLUS.STRIPE82-0003.03624.griz,1.6225,-1.2038,2,5.19,16.75,0.02
SPLUS.STRIPE82-0003.04026.griz,1.6092,-1.1863,0,4.6,16.42,0.02
SPLUS.STRIPE82-0003.04206.griz,0.8151,-0.9966,3,190.36,11.38,0.02
SPLUS.STRIPE82-0003.04553.griz,1.7395,-1.1577,2,4.16,16.76,0.02
SPLUS.STRIPE82-0003.04773.griz,1.5598,-1.1464,3,4.55,16.55,0.02
SPLUS.STRIPE82-0003.05235.griz,1.13,-1.1273,0,4.48,16.97,0.02
SPLUS.STRIPE82-0003.05544.griz,1.229,-1.1108,3,4.36,16.88,0.02
SPLUS.STRIPE82-0003.07390.griz,1.0609,-0.9623,3,239.67,11.65,0.02
SPLUS.STRIPE82-0003.07736.griz,0.82,-1.0098,3,56.21,16.91,0.03
SPLUS.STRIPE82-0003.07866.griz,1.2927,-1.0056,0,12.5,16.96,0.02
SPLUS.STRIPE82-0003.08126.griz,1.0390000000000001,-0.9527,3,99.33,11.68,0.02
SPLUS.STRIPE82-0003.09397.griz,1.82,-0.9329999999999999,2,9.56,15.92,0.02
SPLUS.STRIPE82-0003.09475.griz,1.3995,-0.9223,2,18.59,16.21,0.02
SPLUS.STRIPE82-0003.10890.griz,1.8546,-0.8628,2,8.62,16.13,0.02
SPLUS.STRIPE82-0003.10954.griz,1.916,-0.8574,3,4.4,16.9,0.02
SPLUS.STRIPE82-0003.11012.griz,1.6576,-0.8536,0,5.51,16.92,0.02
SPLUS.STRIPE82-0003.11079.griz,1.8774,-0.8043,3,5.88,14.58,0.02
SPLUS.STRIPE82-0003.11302.griz,1.5384,-0.7901,3,245.08,12.96,0.02
SPLUS.STRIPE82-0003.11760.griz,1.6202,-0.7841,2,6.62,14.86,0.02
